,Flu.Visit.Count,ILI.Visit.Count,Unspecified.Viral.or.ILI.Visit.Count
05-01-2013,0.02303,0.02778,0.04106
12-01-2013,0.02291,0.02718,0.03995
19-01-2013,0.02258,0.02704,0.04097
26-01-2013,0.02012,0.02467,0.03711
02-02-2013,0.0151,0.01962,0.03165
09-02-2013,0.01134,0.01565,0.02631
16-02-2013,0.00931,0.01337,0.02347
23-02-2013,0.00825,0.01207,0.02171
02-03-2013,0.00756,0.01139,0.02108
09-03-2013,0.00792,0.01207,0.02145
16-03-2013,0.00803,0.01193,0.02152
23-03-2013,0.00702,0.0108,0.01993
30-03-2013,0.0059,0.00952,0.01831
06-04-2013,0.00492,0.00828,0.01605
13-04-2013,0.00304,0.00611,0.01284
20-04-2013,0.00191,0.00469,0.01064
27-04-2013,0.00115,0.00366,0.00933
04-05-2013,0.00081,0.00332,0.00876
11-05-2013,0.00055,0.00303,0.00823
18-05-2013,0.00043,0.00287,0.00796
25-05-2013,0.00034,0.00274,0.00752
01-06-2013,3.00E-04,0.0027,0.00764
08-06-2013,0.00024,0.00239,0.00679
15-06-2013,0.00017,0.0023,0.00673
22-06-2013,0.00017,0.00222,0.00664
29-06-2013,0.00016,0.00208,0.00633
06-07-2013,0.00015,0.00238,0.00694
13-07-2013,0.00011,0.00196,0.00601
20-07-2013,0.00013,0.00206,0.00594
27-07-2013,0.00015,0.00199,0.00619
03-08-2013,1.00E-04,0.00181,0.00581
10-08-2013,0.00014,0.00184,0.00579
17-08-2013,0.00013,0.00185,0.00562
24-08-2013,0.00014,0.00194,0.00624
31-08-2013,0.00023,0.00223,0.00679
07-09-2013,3.00E-04,0.0027,0.00817
14-09-2013,0.00039,0.00249,0.00799
21-09-2013,0.00046,0.00258,0.0082
28-09-2013,0.00057,0.00274,0.00851
05-10-2013,0.00068,0.00304,0.00861
12-10-2013,0.00071,0.00302,0.0085
19-10-2013,0.00085,0.003,0.00838
26-10-2013,0.00096,0.00313,0.00909
02-11-2013,0.00108,0.00347,0.00936
09-11-2013,0.00129,0.00381,0.00969
16-11-2013,0.00144,0.00385,0.00978
23-11-2013,0.00204,0.0047,0.01086
30-11-2013,0.00258,0.0056,0.01224
07-12-2013,0.00365,0.00642,0.01326
14-12-2013,0.00492,0.00794,0.01468
21-12-2013,0.00989,0.01363,0.02138
28-12-2013,0.01735,0.02265,0.03314
