YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-64,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2013,1,4.64931,4.96368,8444,0,9108,2792,34103,1982,687051
2013,2,4.32584,4.69072,8297,0,13424,2796,39896,1995,850531
2013,3,4.51113,4.70473,8633,0,15992,2316,39441,2008,838326
2013,4,4.2171,4.1646,7441,0,13439,1765,32426,1978,778610
2013,5,3.78956,3.69533,6609,0,12653,1574,29808,1963,806640
2013,6,3.29206,3.2363,5757,0,10816,1207,24987,1931,772086
2013,7,3.0197,2.89421,5289,0,9395,1045,22321,1926,771229
2013,8,2.71499,2.71742,5099,0,8415,1023,20519,1940,755092
2013,9,2.4845,2.52297,4633,0,7981,968,19231,1893,762238
2013,10,2.57808,2.55227,4791,0,7709,858,18829,1884,737736
2013,11,2.39237,2.43225,4480,0,7065,889,17392,1846,715059
2013,12,2.06778,2.10851,3957,0,6095,741,15254,1825,723449
2013,13,1.90281,1.94725,3830,0,5204,632,13714,1811,704276
2013,14,1.65902,1.74859,3516,0,4299,675,12273,1769,701881
2013,15,1.43006,1.49713,3110,0,3929,603,10818,1742,722583
2013,16,1.27757,1.32313,2707,0,3509,491,9188,1732,694415
2013,17,1.19009,1.22647,2588,0,3364,425,8589,1711,700300
2013,18,1.09556,1.19614,2439,0,3142,370,7986,1675,667648
2013,19,1.08589,1.19049,2422,0,2877,361,7704,1630,647130
2013,20,1.07343,1.17426,2431,0,2583,393,7317,1582,623114
2013,21,1.01677,1.13342,2230,0,2219,368,6589,1489,581338
2013,22,1.04847,1.14306,2109,0,2094,357,6190,1486,541528
2013,23,0.920349,1.00881,1983,0,1779,330,5638,1421,558875
2013,24,0.920779,1.02358,1969,0,1713,277,5539,1419,541138
2013,25,0.904333,1.00138,1877,0,1766,302,5474,1405,546643
2013,26,0.83057,0.909498,1703,0,1581,285,4915,1389,540408
2013,27,0.862837,0.950042,1594,0,1489,251,4506,1357,474295
2013,28,0.732182,0.829299,1576,0,1491,219,4510,1362,543833
2013,29,0.724558,0.802109,1432,0,1405,185,4186,1341,521874
2013,30,0.740848,0.806333,1416,0,1464,221,4233,1325,524969
2013,31,0.726037,0.796937,1216,0,1284,184,3886,1290,487617
2013,32,0.755639,0.779136,1367,0,1338,198,4075,1299,523015
2013,33,0.761847,0.797653,1364,0,1366,188,4168,1276,522533
2013,34,0.779896,0.825485,1331,0,1561,232,4317,1265,522965
2013,35,0.899138,0.935469,1499,0,1814,316,5053,1260,540157
2013,36,0.999524,1.04345,1681,0,2035,311,5626,1317,539175
2013,37,1.0558,1.09107,1926,0,2437,354,6374,1307,584196
2013,38,1.0967,1.20108,2175,0,2683,365,7110,1290,591969
2013,39,1.24709,1.26179,2393,0,2963,459,7963,1364,631088
2013,40,1.15746,1.13249,2974,0,3769,456,9677,1960,854487
2013,41,1.27184,1.21121,3276,0,3925,533,10420,1990,860298
2013,42,1.31623,1.25682,3483,0,3880,500,10658,2018,848016
2013,43,1.37444,1.37097,3930,0,4484,514,12036,2027,877917
2013,44,1.46781,1.42956,4045,0,4642,531,12502,2028,874537
2013,45,1.5834,1.53588,4434,0,5062,538,13498,2017,878845
2013,46,1.60253,1.60267,4643,0,5000,578,13927,2054,868987
2013,47,1.72344,1.73267,4835,0,5579,583,15168,2012,875411
2013,48,2.11076,2.09858,4937,0,4313,639,13975,2042,665926
2013,49,2.1708,2.21374,5549,0,6579,865,18920,2055,854664
2013,50,2.36971,2.41674,5501,0,7046,802,19398,2054,802651
2013,51,3.15997,3.03071,6555,0,8406,939,24697,2009,814891
2013,52,4.59053,4.38724,7814,0,7485,1316,26988,2007,615148
