,Flu.Visit.Count,ILI.Visit.Count,Unspecified.Viral.or.ILI.Visit.Count,TOTAL PATIENTS
01-01-2011,0.00643,0.01079,0.01865,744043
08-01-2011,0.00523,0.00873,0.01692,711908
15-01-2011,0.00721,0.01109,0.01978,751850
22-01-2011,0.01182,0.01644,0.0256,798637
29-01-2011,0.01594,0.0217,0.03276,772974
05-02-2011,0.01722,0.02376,0.03576,812230
12-02-2011,0.01616,0.02216,0.03438,831600
19-02-2011,0.01818,0.02468,0.03717,801449
26-02-2011,0.01409,0.01965,0.03074,781629
05-03-2011,0.00967,0.01451,0.02433,747993
12-03-2011,0.00713,0.01147,0.02045,741807
19-03-2011,0.00498,0.00912,0.01758,728883
26-03-2011,0.00325,0.00701,0.01476,739375
02-04-2011,0.0022,0.00553,0.01297,729089
09-04-2011,0.00162,0.00496,0.01218,691707
16-04-2011,0.00102,0.00404,0.01069,662612
23-04-2011,0.00075,0.00342,0.00951,681240
30-04-2011,0.00058,0.00344,0.00944,655627
07-05-2011,0.00038,0.00312,0.00881,651983
14-05-2011,0.00035,0.0032,0.00903,620485
21-05-2011,0.00027,0.00299,0.00869,586460
28-05-2011,0.00018,0.00294,0.00874,531954
04-06-2011,0.00019,0.00316,0.00879,564322
11-06-2011,0.00019,0.00274,0.008,539238
18-06-2011,0.00016,0.00258,0.00779,532356
25-06-2011,0.00011,0.00258,0.00761,506732
02-07-2011,0.00015,0.00247,0.00705,468565
09-07-2011,0.00013,0.00244,0.00737,526346
16-07-2011,0.00012,0.00215,0.00661,518011
23-07-2011,0.00014,0.0022,0.00674,514262
30-07-2011,0.00014,0.00196,0.00651,496632
06-08-2011,0.00012,0.00195,0.00629,521671
13-08-2011,0.00015,0.00204,0.00672,531975
20-08-2011,0.00016,0.00194,0.00635,551005
27-08-2011,0.00018,0.00215,0.0068,548228
03-09-2011,0.00032,0.00253,0.00808,514168
10-09-2011,0.00032,0.00268,0.00845,575887
17-09-2011,0.00037,0.00257,0.00869,584534
24-09-2011,0.00048,0.00288,0.00913,605162
01-10-2011,0.00045,0.00296,0.00916,778182
08-10-2011,0.00053,0.00319,0.00912,791987
15-10-2011,0.00055,0.00328,0.00932,794995
22-10-2011,0.00054,0.00318,0.00938,788840
29-10-2011,0.00058,0.00349,0.00999,784334
05-11-2011,7.00E-04,0.00375,0.01046,797839
12-11-2011,0.00064,0.00372,0.01047,801594
19-11-2011,0.00057,0.00363,0.01048,626731
26-11-2011,0.00062,0.00382,0.01074,782984
03-12-2011,8.00E-04,0.00377,0.01041,736905
10-12-2011,0.00068,0.00364,0.01032,729258
17-12-2011,0.00083,0.00405,0.011,645424
24-12-2011,0.00088,0.00447,0.01176,581697
