weekStartDate,nILI,nPatients,nRTs,nTweets
20130127,32426,778610,282,48307733
20130203,29808,806640,2254,341788321
20130210,24987,772086,1678,342719933
20130217,22321,771229,1718,347676295
20130224,20519,755092,1104,297333771
20130303,19231,762238,1291,340339343
20130310,18829,737736,1509,344156623
20130317,17392,715059,1335,349839737
20130324,15254,723449,849,356991839
20130331,13714,704276,1497,255385854
20130407,12273,701881,1645,348037343
20130414,10818,722583,1475,339118006
20130421,9188,694415,1121,326967518
20130428,8589,700300,705,148508440
20130505,7986,667648,1046,350732034
20130512,7704,647130,1067,347425454
20130519,7317,623114,1171,359780285
20130526,6589,581338,1009,305822242
20130602,6190,541528,731,361001502
20130609,5638,558875,670,251940554
20130616,5539,541138,924,361314602
20130623,5474,546643,757,363795197
20130630,4915,540408,460,311268065
20130707,4506,474295,714,371168240
20130714,4510,543833,795,368606672
20130721,4186,521874,833,384361924
20130728,4233,524969,663,322011356
20130804,3886,487617,929,378406893
20130811,4075,523015,905,385695187
20130818,4168,522533,729,373973761
20130825,4317,522965,581,376817360
20130901,5053,540157,525,310672367
20130908,5626,539175,834,360425727
20130915,6374,584196,927,357956670
20130922,7110,591969,1114,350755075
20130929,7963,631088,701,298288126
20131006,9677,854487,1100,348602163
20131013,10420,860298,1518,357583377
20131020,10658,848016,1478,349927769
20131027,12036,877917,466,202815336
20131103,12502,874537,1050,350068817
20131110,13498,878845,1280,352471371
20131117,13927,868987,828,354700205
20131124,15168,875411,924,356873214
20131201,13975,665986,761,303736324
20131208,18920,854664,1351,342602951
20131215,19398,802651,1563,355637493
20131222,24697,814891,1122,358247464
20131229,26988,615148,1097,325397449
