Week,a.influenza,acute.bronchitis,body.temperature,braun.thermoscan,break.a.fever,bronchitis,chest.cold,cold.and.flu,cold.or.flu,cold.versus.flu,cold.vs.flu,contagious.flu,cough.fever,cure.flu,cure.the.flu,dangerous.fever,do.i.have.the.flu,ear.thermometer,early.flu.symptoms,expectorant,exposed.to.flu,fever.cough,fever.flu,fever.reducer,fight.the.flu,flu.and.cold,flu.and.fever,flu.care,flu.children,flu.complications,flu.contagious.period,flu.contagious,flu.cough,flu.duration,flu.fever,flu.germs,flu.headache,flu.how.long,flu.in.children,flu.incubation.period,flu.incubation,flu.lasts,flu.length,flu.medicine,flu.or.cold,flu.recovery,flu.relief,flu.remedies,flu.remedy,flu.report,flu.reports,flu.symptoms,flu.test,flu.treatment,flu.treatments,flu.versus.cold,flu.vs.cold,get.over.the.flu,get.rid.of.the.flu,having.the.flu,high.fever,how.long.contagious,how.long.does.flu.last,how.long.does.the.flu.last,how.long.flu,how.long.is.flu.contagious,how.long.is.the.flu.contagious,how.long.is.the.flu,how.to.get.rid.of.the.flu,how.to.treat.flu,how.to.treat.the.flu,human.temperature,i.have.the.flu,incubation.period.for.flu,incubation.period.for.the.flu,influenza.a.and.b,influenza.a,influenza.contagious,influenza.incubation.period,influenza.incubation,influenza.symptoms,influenza.treatment,influenza.type.a,is.flu.contagious,low.body,medicine.for.flu,medicine.for.the.flu,normal.body.temperature,normal.body,oscillococcinum,over.the.counter.flu.medicine,over.the.counter.flu,painful.cough,pneumonia,rapid.flu,reduce.a.fever,reduce.fever,remedies.for.flu,remedies.for.the.flu,respiratory.flu,robitussin,signs.of.flu,signs.of.the.flu,sinus.infections,sinus,strep.throat,strep,symptoms.of.bronchitis,symptoms.of.flu,symptoms.of.influenza,symptoms.of.pneumonia,symptoms.of.the.flu,taking.temperature,tessalon,the.flu.virus,the.flu,thermoscan,treat.flu,treat.the.flu,treating.flu,treating.the.flu,treatment.for.flu,treatment.for.the.flu,tussin,tussionex,type.a.influenza,upper.respiratory,walking.pneumonia,what.to.do.if.you.have.the.flu,TOTAL PATIENTS
07-01-2012,4,47,61,37,29,58,58,33,23,11,19,11,31,4,7,38,14,54,11,62,6,31,14,44,11,33,20,6,4,3,4,11,15,13,14,19,24,13,4,2,2,14,5,16,23,11,36,19,19,3,2,3,2,8,4,11,19,16,21,17,51,25,16,12,13,9,8,9,23,20,13,53,15,3,2,6,4,3,3,4,9,12,3,12,70,18,15,48,57,37,18,19,30,74,6,42,36,22,13,6,73,6,9,37,80,72,73,54,2,9,56,5,50,54,8,5,35,14,20,11,15,9,17,63,50,3,59,80,10,678631
14-01-2012,4,48,62,33,34,55,46,24,18,8,14,9,27,3,5,31,9,59,7,67,7,28,14,41,6,24,20,5,4,3,4,9,13,11,14,14,19,11,5,2,2,27,4,10,18,7,16,15,17,2,1,3,3,8,5,8,14,15,23,21,44,26,15,11,11,9,8,10,22,17,15,55,13,4,10,5,4,2,3,3,10,16,5,10,74,16,14,52,64,32,17,10,27,70,1,48,36,15,13,5,59,5,7,33,76,70,71,53,2,11,50,4,36,49,6,4,35,15,20,14,14,8,14,46,39,5,59,75,6,747894
21-01-2012,5,37,65,29,28,48,46,26,19,4,14,9,31,3,5,32,8,66,8,51,7,31,13,43,5,26,20,4,4,4,3,9,10,9,13,13,16,11,4,3,2,12,4,12,19,6,26,18,16,2,1,3,2,7,5,4,14,8,24,11,54,23,14,11,11,7,6,10,19,14,18,57,13,3,5,4,5,3,5,5,9,9,3,8,74,20,17,52,67,27,11,12,22,65,4,48,42,22,13,5,61,5,7,28,72,70,71,48,2,8,47,4,45,46,7,4,33,12,13,9,18,7,15,46,41,3,51,69,4,724623
28-01-2012,7,49,72,52,30,51,44,24,22,12,13,9,36,3,6,34,12,65,7,52,8,36,16,54,12,24,21,4,3,2,4,9,12,8,16,11,18,10,4,3,2,16,4,11,22,7,18,19,10,2,2,3,3,7,6,12,13,19,15,15,56,25,12,11,10,6,4,8,18,13,11,68,12,1,4,7,7,3,3,2,10,13,5,8,80,14,8,55,70,26,10,8,29,67,6,44,39,15,11,6,61,4,6,32,75,74,76,48,2,12,51,5,44,48,7,4,41,10,16,9,12,7,9,45,40,5,55,63,8,784244
04-02-2012,9,48,72,43,29,49,43,25,17,7,16,8,36,4,7,35,10,57,9,53,7,36,14,46,8,25,21,6,3,2,3,8,12,5,14,8,17,11,5,3,2,16,4,15,17,5,19,20,12,1,2,3,2,5,3,7,16,16,24,18,51,28,14,11,11,8,6,9,27,14,14,65,15,2,5,5,9,3,5,5,12,17,8,7,75,18,12,60,76,25,13,10,25,71,4,38,35,17,15,9,54,5,9,31,78,79,81,51,2,14,54,5,49,48,8,4,36,12,13,8,10,5,11,47,42,8,63,72,6,775298
11-02-2012,10,50,68,32,28,53,51,25,18,10,14,9,38,4,6,39,8,55,8,57,4,38,14,45,8,25,17,5,3,4,3,9,13,8,14,9,18,11,4,2,2,22,5,13,18,9,24,19,20,1,1,3,3,7,4,10,14,13,21,16,59,26,14,15,11,6,6,8,17,15,15,68,14,2,3,9,10,6,3,6,15,20,14,8,82,19,14,55,70,25,15,9,23,70,7,51,44,21,13,11,50,5,7,34,79,81,85,52,2,14,51,5,45,47,7,4,34,13,17,7,9,8,14,43,38,14,58,69,8,784516
18-02-2012,11,54,70,40,35,55,51,26,20,8,16,10,40,4,6,45,9,62,11,59,8,40,16,45,13,26,23,6,4,3,8,10,15,11,16,8,24,13,4,3,2,17,6,17,20,8,25,23,16,3,1,3,4,7,7,8,16,20,25,21,56,30,17,15,13,7,7,11,28,16,13,74,18,3,5,13,11,4,8,6,15,23,15,10,75,18,17,56,70,28,16,13,44,73,5,50,45,19,17,7,50,6,9,39,79,82,82,58,2,15,55,5,44,46,7,5,38,13,16,10,10,7,10,50,43,15,62,73,9,789193
25-02-2012,14,48,69,35,40,55,47,27,23,5,13,12,45,4,7,36,13,58,13,58,9,45,19,59,7,27,28,6,4,2,6,12,17,13,19,10,24,14,4,3,2,18,8,13,23,7,23,25,19,3,1,3,3,7,6,5,13,17,22,19,62,29,19,15,14,7,8,11,24,16,18,60,17,4,8,20,14,7,10,9,18,20,24,10,77,21,19,50,71,26,9,11,34,74,4,59,49,24,17,9,50,5,10,38,82,82,84,53,2,16,55,5,40,46,9,5,44,14,18,14,17,6,22,44,38,24,65,69,20,767022
03-03-2012,17,50,68,37,37,55,47,22,21,8,13,12,43,4,10,51,14,53,8,51,7,43,17,38,12,22,27,6,5,5,4,12,17,10,17,13,24,14,5,3,2,19,6,14,21,12,20,20,14,2,2,3,3,8,1,8,13,15,23,20,61,29,20,15,14,9,9,13,21,19,15,64,18,6,5,16,17,6,7,6,19,30,17,11,80,21,20,55,72,26,11,9,40,71,7,47,48,17,11,8,48,6,9,34,78,79,83,52,2,20,56,5,40,39,9,5,34,16,16,7,10,9,14,44,40,17,58,70,13,788242
10-03-2012,22,54,67,33,51,54,42,23,17,13,13,12,41,4,7,57,11,66,6,53,11,41,18,50,10,23,27,7,4,4,6,11,14,12,18,11,20,13,5,2,2,13,7,12,17,11,30,22,15,4,2,3,3,7,3,13,13,23,25,20,66,29,17,15,13,10,10,11,24,20,23,72,15,4,4,18,22,9,16,15,23,20,23,11,80,19,16,57,69,25,15,14,38,70,10,59,45,17,18,7,42,5,7,34,74,81,82,45,2,18,51,4,53,48,7,5,33,16,23,9,8,8,15,40,40,23,62,68,13,749198
